phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
S_seed,1_45791478,1,60.5,55.5,77,3.6580850329034433,45.791,38.255,80.063,41.808,3.573
Sr_leaf,1_53680816,1,67.64618768,65,113.5,3.8748373027459593,53.681,51.321,205.263,153.942,3.554
Ca_leaf,1_201905251,1,111.377599,65.5,138.6852353,3.8602533477409793,201.905,51.321,250.261,198.94,3.491
Cu_seed,1_201663665,1,112,100,115,3.539779684507671,201.664,191.547,205.72,14.173000000000002,3.468
Cd_leaf,1_255377519,1,144.5,123.2479783,171.5899953,3.7104029420678444,255.378,218.721,283.934,65.21300000000002,3.504
Cd_leaf,2_64908160,2,57.80311193,43,66,6.055576667867044,64.908,25.183,169.172,143.989,3.504
Cd_seed,2_73588220,2,58.91440599,53.5,68.5,6.490862081111118,73.588,55.845,179.263,123.418,3.506
Fe_leaf,3_14355069,3,35.994048,31.17154539,38.5,4.212486874818467,14.355,10.28,18.831,8.551,3.584
K_leaf,3_218348206,3,129.5,106,148.5,3.8084691146545993,218.348,200.498,227.448,26.950000000000017,3.522
As_seed,8_22801877,8,43.5,16.5,110.5,3.5359137172584667,22.802,8.017,170.418,162.401,3.414
Ni_seed,9_2485561,9,1,0,4.5,11.178447904243313,2.486,2.486,5.321,2.8349999999999995,3.506
Na_leaf,9_134175873,9,64,57,72,6.102322970916276,134.176,113.815,139.231,25.415999999999997,3.61
Sr_seed,9_147073159,9,97,82.5,103.5,4.398715434084288,147.073,142.192,149.693,7.501000000000005,3.474
