phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
Al_leaf.i,1_10541301,1,21,14.5,57,2.870966342717935,10.541,7.862,40.361,32.498999999999995,2.606
Zn_leaf.i,1_253435180,1,141.5,109,156.5,3.0272529656398888,253.435,197.892,270.477,72.58499999999998,2.745
Zn_seed.i,1_285288568,1,172.7012894,164,175.5,3.296188265743581,285.289,279.48,287.135,7.654999999999973,2.602
B_leaf.i,10_4697245,10,11.5,4,18.5,2.743804213008616,4.697,1.418,4.697,3.279,2.731
B_seed.i,10_9916580,10,30.53219168,23,101.6837822,3.3493015814331253,9.917,5.879,147.963,142.084,2.574
Al_seed.i,10_143871843,10,88.48484981,5.5,101,2.5770450285902697,143.872,1.418,147.963,146.545,2.413
Sr_seed.i,2_3396230,2,1,0,9.5,3.1245436574411976,3.396,3.117,5.431,2.314,2.499
Ca_seed.i,2_4377056,2,2.5,0,111.5,3.1154774428882774,4.377,3.117,224.308,221.191,2.822
Mn_seed.i,2_18759777,2,36,27,52,2.6386543196758225,18.76,14.349,45.832,31.483,2.414
Cd_leaf.f,2_64908160,2,57.80311193,46.5,65.5,7.236723308105084,64.908,34.99,165.893,130.903,5.121
Cd_seed.f,2_73588220,2,58.91440599,54,59.5,7.755298945263405,73.588,57.558,81.073,23.514999999999993,5.414
Co_seed.i,2_184052461,2,74,69.75014123,78.5,3.3977731465001284,184.052,180.637,186.247,5.610000000000014,2.529
As_seed.i,2_190284898,2,86,80,102.5,4.441284522758053,190.285,187.088,213.828,26.74000000000001,2.875
Cd_seed.i,2_192025993,2,91,80,96.5,3.434641252041274,192.026,187.088,206.787,19.699000000000012,3.072
Cd_leaf.i,2_192025993,2,91.5178764,73,102.5,3.054238881944599,192.026,182.624,213.828,31.204000000000008,2.662
Ca_seed.i,3_4724131,3,15.27725659,9.695869278,131,2.987371455910818,4.724,3.836,218.88,215.04399999999998,2.822
Zn_seed.i,3_188374741,3,93.5,84,97.5,2.629432259563373,188.375,181.334,191.389,10.055000000000007,2.602
B_leaf.i,4_31705828,4,51.79132549,46.15173047,66.5,2.8809916153341817,31.706,21.693,154.717,133.024,2.731
Ca_leaf.i,4_209247854,4,115.5,94.65923802,148.3819998,2.7229047972260787,209.248,176.915,239.753,62.837999999999994,2.621
Se_seed.i,4_239753141,4,148.3819998,98.5,148.3819998,3.0812546891255295,239.753,177.404,239.753,62.34899999999999,2.593
Rb_seed.i,5_18392687,5,46,42,54,3.2085759824194326,18.393,18.393,33.844,15.451,2.578
K_seed.i,5_22827086,5,50,0,53.5,3.6041219230824595,22.827,2.269,33.844,31.575000000000003,2.432
Al_leaf.i,5_204603681,5,108.5,39,112.1451022,2.8731308678956395,204.604,15.202,205.564,190.362,2.606
Co_leaf.i,6_24282011,6,9.5,0.3703771446,13,2.953622995891436,24.282,1.339,65.427,64.08800000000001,2.549
Na_leaf.i,6_117710924,6,52.9580238,49.47314435,79.5,3.4627039941212843,117.711,112.079,152.38,40.301,2.975
Se_leaf.i,6_160804862,6,97.78660759,89.5,105,3.041176460895258,160.805,158.565,162.84,4.275000000000006,2.833
P_leaf.i,7_36564254,7,39.83663771,37,118,3.602947182014873,36.564,22.694,170.856,148.162,2.798
S_leaf.i,8_104147153,8,58,44,70.5,3.0068768329737168,104.147,22.802,139.999,117.197,2.69
As_seed.i,8_173342575,8,124.1548456,111,126,3.8191817793278062,173.343,170.418,173.616,3.1980000000000075,2.875
Ni_seed.f,9_4290807,9,2.5,0,3,11.996507034738926,4.291,2.486,4.291,1.8050000000000002,4.892
Co_leaf.i,9_7703488,9,9.57310118,0,25.1224691,2.551019457995409,7.703,2.486,14.027,11.540999999999999,2.549
Al_seed.i,9_13457032,9,24.60116773,11.05501643,46.5,2.481182550191555,13.457,8.469,24.08,15.610999999999999,2.413
Na_leaf.f,9_134175873,9,64,59.71772244,69.5,6.258131167938728,134.176,122.074,136.646,14.571999999999989,5.301
Ni_seed.i,9_149693494,9,102.3053267,97.5,116.5,2.791471402444216,149.693,147.073,153.187,6.114000000000004,2.604
