phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
S_seed.covar,1_45791478,1,60.5,55.5,77,3.6580850329034433,45.791,38.255,80.063,41.808,3.573
S_seed.nocovar,1_45791478,1,60.5,55.5,71.13351424,3.715744490990346,45.791,38.255,64.498,26.243000000000002,3.484
Sr_leaf.covar,1_53680816,1,67.64618768,65,113.5,3.8748373027459593,53.681,51.321,205.263,153.942,3.554
Sr_leaf.nocovar,1_53680816,1,67.64618768,63.5,164.5,3.600228140223635,53.681,47.834,279.48,231.64600000000002,3.491
Co_leaf.nocovar,1_94378919,1,83.75923938,60.5,109.5,3.565705168183797,94.379,45.791,200.67,154.879,3.445
Ca_leaf.covar,1_201905251,1,111.377599,65.5,138.6852353,3.8602533477409793,201.905,51.321,250.261,198.94,3.491
Ca_leaf.nocovar,1_201905251,1,111.5,66.5,161,3.794148234889292,201.905,53.681,275.847,222.166,3.461
Cu_seed.covar,1_201663665,1,112,100,115,3.539779684507671,201.664,191.547,205.72,14.173000000000002,3.468
Cd_leaf.covar,1_255377519,1,144.5,123.2479783,171.5899953,3.7104029420678444,255.378,218.721,283.934,65.21300000000002,3.504
Cd_leaf.nocovar,1_255377519,1,145,123.2479783,171.5,3.957993394336924,255.378,218.721,283.934,65.21300000000002,3.423
Mn_leaf.nocovar,1_269184021,1,155.5,150.5,181,3.975431781842076,269.184,262.519,290.76,28.240999999999985,3.461
Mg_leaf.nocovar,1_273964464,1,160,146.5,189.5,3.9694044171370706,273.964,255.378,293.405,38.02699999999999,3.462
Cu_leaf.nocovar,10_113523477,10,49.5,34,63.5,4.082681942771643,113.523,9.917,135.401,125.48400000000001,3.554
Cd_leaf.covar,2_64908160,2,57.80311193,43,66,6.055576667867044,64.908,25.183,169.172,143.989,3.504
Cd_leaf.nocovar,2_64908160,2,57.80311193,42.8096904,66,5.200421431939489,64.908,25.183,169.172,143.989,3.423
Cd_seed.covar,2_73588220,2,58.91440599,53.5,68.5,6.490862081111118,73.588,55.845,179.263,123.418,3.506
Cd_seed.nocovar,2_73588220,2,58.91440599,51,70.5,4.5073786038701655,73.588,44.329,180.637,136.308,3.533
Fe_leaf.nocovar,3_13471669,3,35.10230061,29,38.5,4.290935656679153,13.472,9.438,18.831,9.392999999999999,3.56
Fe_leaf.covar,3_14355069,3,35.994048,31.17154539,38.5,4.212486874818467,14.355,10.28,18.831,8.551,3.584
K_leaf.covar,3_218348206,3,129.5,106,148.5,3.8084691146545993,218.348,200.498,227.448,26.950000000000017,3.522
Cu_seed.nocovar,5_2269274,5,0,0,2,21.13106743408904,2.269,2.269,3.096,0.827,3.566
Fe_leaf.nocovar,5_2269274,5,0,0,2,15.871449471907397,2.269,2.269,3.096,0.827,3.56
Mg_leaf.nocovar,5_2269274,5,0,0,2,4.968495234987927,2.269,2.269,3.096,0.827,3.462
Mn_leaf.nocovar,5_2269274,5,0,0,21,6.965294803930192,2.269,2.269,6.378,4.109,3.461
Zn_leaf.nocovar,5_2269274,5,0,0,2,31.840090006861402,2.269,2.269,3.096,0.827,3.561
Zn_seed.nocovar,5_2269274,5,0,0,2.5,20.75450746283667,2.269,2.269,3.096,0.827,3.485
Cu_leaf.nocovar,5_2269274,5,0.5,0,2.5,28.283692449746198,2.269,2.269,3.096,0.827,3.554
Fe_seed.nocovar,5_2269274,5,0.5,0,3,13.941948507626904,2.269,2.269,3.096,0.827,3.58
As_leaf.nocovar,5_2269274,5,1,0,6.5,8.283686783795957,2.269,2.269,4.271,2.002,3.504
Mn_seed.nocovar,5_3096229,5,2.5,0,9,4.8062663558248175,3.096,2.269,4.271,2.002,3.552
P_leaf.nocovar,5_3096229,5,2.5,0,13,4.191617447902672,3.096,2.269,6.378,4.109,3.452
As_seed.nocovar,5_3096229,5,5,0,19,4.761294755612596,3.096,2.269,6.378,4.109,3.461
Zn_leaf.nocovar,8_935340,8,0,0,4.5,4.169458781045506,0.935,0.935,2.792,1.8569999999999998,3.561
As_seed.nocovar,8_22801877,8,43,17.5,59,4.082248695297437,22.802,8.017,110.541,102.524,3.461
As_seed.covar,8_22801877,8,43.5,16.5,110.5,3.5359137172584667,22.802,8.017,170.418,162.401,3.414
Ni_seed.covar,9_2485561,9,1,0,4.5,11.178447904243313,2.486,2.486,5.321,2.8349999999999995,3.506
Ni_seed.nocovar,9_2485561,9,1,0,4.5,10.863976797675662,2.486,2.486,5.321,2.8349999999999995,3.523
Na_leaf.covar,9_134175873,9,64,57,72,6.102322970916276,134.176,113.815,139.231,25.415999999999997,3.61
Na_leaf.nocovar,9_134175873,9,64,56.5,72.42024463,6.234415719913727,134.176,113.815,139.231,25.415999999999997,3.525
Sr_seed.covar,9_147073159,9,97,82.5,103.5,4.398715434084288,147.073,142.192,149.693,7.501000000000005,3.474
Sr_seed.nocovar,9_147073159,9,97.5,79.5,104.5,3.826460040942976,147.073,140.188,149.693,9.505000000000024,3.505
