phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
S_seed,1_45791478,1,60.5,55.5,71.13351424,3.715744490990346,45.791,38.255,64.498,26.243000000000002,3.484
Sr_leaf,1_53680816,1,67.64618768,63.5,164.5,3.600228140223635,53.681,47.834,279.48,231.64600000000002,3.491
Co_leaf,1_94378919,1,83.75923938,60.5,109.5,3.565705168183797,94.379,45.791,200.67,154.879,3.445
Ca_leaf,1_201905251,1,111.5,66.5,161,3.794148234889292,201.905,53.681,275.847,222.166,3.461
Cd_leaf,1_255377519,1,145,123.2479783,171.5,3.957993394336924,255.378,218.721,283.934,65.21300000000002,3.423
Mn_leaf,1_269184021,1,155.5,150.5,181,3.975431781842076,269.184,262.519,290.76,28.240999999999985,3.461
Mg_leaf,1_273964464,1,160,146.5,189.5,3.9694044171370706,273.964,255.378,293.405,38.02699999999999,3.462
Cu_leaf,10_113523477,10,49.5,34,63.5,4.082681942771643,113.523,9.917,135.401,125.48400000000001,3.554
Cd_leaf,2_64908160,2,57.80311193,42.8096904,66,5.200421431939489,64.908,25.183,169.172,143.989,3.423
Cd_seed,2_73588220,2,58.91440599,51,70.5,4.5073786038701655,73.588,44.329,180.637,136.308,3.533
Fe_leaf,3_13471669,3,35.10230061,29,38.5,4.290935656679153,13.472,9.438,18.831,9.392999999999999,3.56
Cu_seed,5_2269274,5,0,0,2,21.13106743408904,2.269,2.269,3.096,0.827,3.566
Fe_leaf,5_2269274,5,0,0,2,15.871449471907397,2.269,2.269,3.096,0.827,3.56
Mg_leaf,5_2269274,5,0,0,2,4.968495234987927,2.269,2.269,3.096,0.827,3.462
Mn_leaf,5_2269274,5,0,0,21,6.965294803930192,2.269,2.269,6.378,4.109,3.461
Zn_leaf,5_2269274,5,0,0,2,31.840090006861402,2.269,2.269,3.096,0.827,3.561
Zn_seed,5_2269274,5,0,0,2.5,20.75450746283667,2.269,2.269,3.096,0.827,3.485
Cu_leaf,5_2269274,5,0.5,0,2.5,28.283692449746198,2.269,2.269,3.096,0.827,3.554
Fe_seed,5_2269274,5,0.5,0,3,13.941948507626904,2.269,2.269,3.096,0.827,3.58
As_leaf,5_2269274,5,1,0,6.5,8.283686783795957,2.269,2.269,4.271,2.002,3.504
Mn_seed,5_3096229,5,2.5,0,9,4.8062663558248175,3.096,2.269,4.271,2.002,3.552
P_leaf,5_3096229,5,2.5,0,13,4.191617447902672,3.096,2.269,6.378,4.109,3.452
As_seed,5_3096229,5,5,0,19,4.761294755612596,3.096,2.269,6.378,4.109,3.461
Zn_leaf,8_935340,8,0,0,4.5,4.169458781045506,0.935,0.935,2.792,1.8569999999999998,3.561
As_seed,8_22801877,8,43,17.5,59,4.082248695297437,22.802,8.017,110.541,102.524,3.461
Ni_seed,9_2485561,9,1,0,4.5,10.863976797675662,2.486,2.486,5.321,2.8349999999999995,3.523
Na_leaf,9_134175873,9,64,56.5,72.42024463,6.234415719913727,134.176,113.815,139.231,25.415999999999997,3.525
Sr_seed,9_147073159,9,97.5,79.5,104.5,3.826460040942976,147.073,140.188,149.693,9.505000000000024,3.505
