phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
S_seed.covar,1_45791478,1,60.5,57,70.3927193,3.6580850329034433,45.791,40.361,60.704,20.343000000000004,3.573
S_seed.nocovar,1_45791478,1,60.5,57,67,3.715744490990346,45.791,40.361,53.681,13.32,3.484
Sr_leaf.covar,1_53680816,1,67.64618768,56.5,163.5,3.8748373027459593,53.681,40.361,278.674,238.313,3.554
Sr_leaf.nocovar,1_53680816,1,67.64618768,57.18373085,164.5,3.600228140223635,53.681,40.361,279.48,239.11900000000003,3.491
Co_leaf.nocovar,1_94378919,1,83.75923938,62,108.5,3.565705168183797,94.379,47.905,197.892,149.987,3.445
Ca_leaf.covar,1_201905251,1,111.377599,57,157.1862151,3.8602533477409793,201.905,40.361,273.394,233.03300000000002,3.491
Ca_leaf.nocovar,1_201905251,1,111.5,66,163.5,3.794148234889292,201.905,51.321,278.674,227.35299999999998,3.461
Cu_seed.covar,1_201663665,1,112,100.5,114.5,3.539779684507671,201.664,191.547,205.263,13.716000000000008,3.468
Cd_leaf.covar,1_255377519,1,144.5,123.5,171,3.7104029420678444,255.378,219.824,283.934,64.11000000000001,3.504
Cd_leaf.nocovar,1_255377519,1,145,123.6183554,170,3.957993394336924,255.378,219.824,283.934,64.11000000000001,3.423
Mn_leaf.nocovar,1_269184021,1,155.5,151,180,3.975431781842076,269.184,262.519,289.307,26.78800000000001,3.461
Mg_leaf.nocovar,1_273964464,1,160,150.5,185.5,3.9694044171370706,273.964,262.519,292.602,30.08299999999997,3.462
Cu_leaf.nocovar,10_113523477,10,49.5,36,61.5,4.082681942771643,113.523,14.606,134.623,120.017,3.554
Cd_leaf.covar,2_64908160,2,57.80311193,43.70143778,65,6.055576667867044,64.908,28.618,155.236,126.618,3.504
Cd_leaf.nocovar,2_64908160,2,57.80311193,43.5,65.5,5.200421431939489,64.908,28.618,165.893,137.275,3.423
Cd_seed.covar,2_73588220,2,58.91440599,54,67,6.490862081111118,73.588,57.558,173.042,115.48400000000001,3.506
Cd_seed.nocovar,2_73588220,2,58.91440599,52,69.5,4.5073786038701655,73.588,45.832,180.637,134.805,3.533
Fe_leaf.nocovar,3_13471669,3,35.10230061,31,37,4.290935656679153,13.472,10.28,15.065,4.785,3.56
Fe_leaf.covar,3_14355069,3,35.994048,33,37.5,4.212486874818467,14.355,11.237,15.065,3.8279999999999994,3.584
K_leaf.covar,3_218348206,3,129.5,107.7937846,145.5,3.8084691146545993,218.348,202.503,226.632,24.12900000000002,3.522
Cu_seed.nocovar,5_2269274,5,0,0,1,21.13106743408904,2.269,2.269,2.269,0,3.566
Fe_leaf.nocovar,5_2269274,5,0,0,1,15.871449471907397,2.269,2.269,2.269,0,3.56
Mg_leaf.nocovar,5_2269274,5,0,0,25,4.968495234987927,2.269,2.269,6.378,4.109,3.462
Mn_leaf.nocovar,5_2269274,5,0,0,19.5,6.965294803930192,2.269,2.269,6.378,4.109,3.461
Zn_leaf.nocovar,5_2269274,5,0,0,1,31.840090006861402,2.269,2.269,2.269,0,3.561
Zn_seed.nocovar,5_2269274,5,0,0,1.5,20.75450746283667,2.269,2.269,2.269,0,3.485
Cu_leaf.nocovar,5_2269274,5,0.5,0,1.5,28.283692449746198,2.269,2.269,2.269,0,3.554
Fe_seed.nocovar,5_2269274,5,0.5,0,2,13.941948507626904,2.269,2.269,3.096,0.827,3.58
As_leaf.nocovar,5_2269274,5,1,0,4,8.283686783795957,2.269,2.269,3.096,0.827,3.504
Mn_seed.nocovar,5_3096229,5,2.5,0,8,4.8062663558248175,3.096,2.269,4.271,2.002,3.552
P_leaf.nocovar,5_3096229,5,2.5,0,7.5,4.191617447902672,3.096,2.269,4.271,2.002,3.452
As_seed.nocovar,5_3096229,5,5,0,8.5,4.761294755612596,3.096,2.269,4.271,2.002,3.461
Zn_leaf.nocovar,8_935340,8,0,0,2.5,4.169458781045506,0.935,0.935,0.935,0,3.561
As_seed.nocovar,8_22801877,8,43,19.5,56.54061529,4.082248695297437,22.802,8.017,101.472,93.455,3.461
As_seed.covar,8_22801877,8,43.5,19,57.5,3.5359137172584667,22.802,8.017,103.16,95.143,3.414
Ni_seed.covar,9_2485561,9,1,0,3,11.178447904243313,2.486,2.486,4.291,1.8050000000000002,3.506
Ni_seed.nocovar,9_2485561,9,1,0,2.52513745,10.863976797675662,2.486,2.486,4.291,1.8050000000000002,3.523
Na_leaf.covar,9_134175873,9,64,62,70,6.102322970916276,134.176,128.913,136.646,7.732999999999976,3.61
Na_leaf.nocovar,9_134175873,9,64,58.4528338,69.5,6.234415719913727,134.176,118.966,136.646,17.679999999999993,3.525
Sr_seed.covar,9_147073159,9,97,93,101.5,4.398715434084288,147.073,146.024,149.693,3.669000000000011,3.474
Sr_seed.nocovar,9_147073159,9,97.5,83,102.5,3.826460040942976,147.073,142.192,149.693,7.501000000000005,3.505
