phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
P_leaf.i,1_3271520,1,0,0,189,2.8997820454271164,3.272,3.272,293.405,290.133,2.798
Al_leaf.i,1_10541301,1,21,14.5,56.5,2.898880169904004,10.541,7.862,40.361,32.498999999999995,2.606
Ca_leaf.i,1_32606310,1,48,0,99.5,2.70180645498408,32.606,3.272,191.547,188.275,2.621
Cu_leaf.i,1_215256226,1,121.6127407,101.5,184,2.7573189898589305,215.256,194.835,290.76,95.92499999999998,2.63
Zn_leaf.i,1_253435180,1,141.5,109.5,155,3.025098318147485,253.435,200.67,267.009,66.33900000000003,2.745
Zn_seed.i,1_285288568,1,172.7012894,164,176.5,3.0279208610573676,285.289,279.48,287.135,7.654999999999973,2.602
B_leaf.i,10_4697245,10,12.5,6,18.5,2.805961419584321,4.697,1.418,4.697,3.279,2.731
B_seed.i,10_9916580,10,30.53219168,22,101.6837822,3.4316997286592175,9.917,5.879,147.963,142.084,2.574
Mo_leaf.i,10_123705665,10,50,40,56,2.9174991246491953,123.706,16.507,131.066,114.559,2.789
Al_seed.i,10_143871843,10,88.48484981,5.5,101,2.5757871632798057,143.872,1.418,147.963,146.545,2.413
Ca_seed.i,2_4377056,2,2.5,0,110.5,3.2104283862591956,4.377,3.117,220.331,217.214,2.822
Sr_seed.i,2_5430761,2,6.234550314,0,9,3.7088874661841373,5.431,3.117,5.431,2.314,2.499
Mn_seed.i,2_20610096,2,38,26,52,2.709943669575651,20.61,13.871,45.832,31.961,2.414
Cd_seed.i,2_59390125,2,55.0565803,49.5,95,3.5980403665916185,59.39,40.782,196.396,155.61399999999998,3.072
Cd_leaf.f,2_64908160,2,57.80311193,46.5,65.5,7.236723308105084,64.908,34.99,165.893,130.903,5.121
Cd_seed.f,2_73588220,2,58.91440599,54,59.5,7.755298945263405,73.588,57.558,81.073,23.514999999999993,5.414
Co_seed.i,2_184052461,2,74,70,78.5,3.389201664283604,184.052,180.637,186.247,5.610000000000014,2.529
As_seed.i,2_190284898,2,85.5,79.5,103,4.254928804794844,190.285,187.088,213.828,26.74000000000001,2.875
Cd_leaf.i,2_192025993,2,91.5178764,57.5,103,2.969386517648843,192.026,64.908,213.828,148.92000000000002,2.662
Fe_seed.i,3_1673603,3,1.632973939,0,4,4.140051528508451,1.674,0.992,1.965,0.9730000000000001,3.778
Ca_seed.i,3_4724131,3,15.27725659,9.695869278,130.2936593,3.12581355602714,4.724,3.836,218.88,215.04399999999998,2.822
Zn_seed.i,3_188374741,3,93.5,0,112.5,2.6577932862268767,188.375,0.992,208.354,207.36200000000002,2.602
Ca_leaf.i,4_209247854,4,115.4593754,94.5,147.5,2.819416884236034,209.248,176.915,239.753,62.837999999999994,2.621
Se_seed.i,4_239753141,4,148.3819998,99.5,148.3819998,3.0350738986061856,239.753,177.404,239.753,62.34899999999999,2.593
Rb_seed.i,5_18392687,5,45.5,42,50.5,3.3972868001651477,18.393,18.393,25.532,7.138999999999999,2.578
K_seed.i,5_22827086,5,50,0,112.1451022,3.502369994401704,22.827,2.269,205.564,203.295,2.432
Sr_seed.i,5_183535847,5,83.77704465,53,100.5,2.7002310662238287,183.536,29.728,201.924,172.196,2.499
Al_leaf.i,5_204603681,5,108.5,28.5,112.1451022,2.878542967765668,204.604,15.202,205.564,190.362,2.606
Co_leaf.i,6_24282011,6,9.5,0.3703771446,13,2.959400832711367,24.282,1.339,65.427,64.08800000000001,2.549
Na_leaf.i,6_117710924,6,52.9580238,49.47314435,80,3.228424806583206,117.711,112.079,152.38,40.301,2.975
Se_leaf.i,6_160804862,6,97.78660759,87.5,105,3.0983494280310993,160.805,158.565,162.84,4.275000000000006,2.833
Cu_leaf.i,7_20213157,7,34.56690503,9.5,117.5,2.783902907241668,20.213,4.963,170.856,165.893,2.63
P_leaf.i,7_36564254,7,39.83663771,6.5,120,3.5135192448755674,36.564,4.963,171.519,166.556,2.798
Zn_seed.i,8_11572352,8,29,19,39.5,2.768673662163195,11.572,8.017,16.347,8.330000000000002,2.602
S_leaf.i,8_104147153,8,58,43.5,70.5,3.025091816775557,104.147,22.802,139.999,117.197,2.69
As_seed.i,8_173342575,8,124.1548456,110.5,126,3.651669313962401,173.343,170.418,173.616,3.1980000000000075,2.875
Ni_seed.f,9_4290807,9,2.5,0,3,11.996507034738926,4.291,2.486,4.291,1.8050000000000002,4.892
Co_leaf.i,9_8468775,9,13.5,0,23,2.647009330045151,8.469,2.486,12.726,10.24,2.549
Al_seed.i,9_13457032,9,24.60116773,11.5,46.5,2.475065322292995,13.457,8.469,24.08,15.610999999999999,2.413
Na_leaf.f,9_134175873,9,64,59.71772244,69.5,6.258131167938728,134.176,122.074,136.646,14.571999999999989,5.301
Ni_seed.i,9_149693494,9,102.3053267,95.5,118.0826664,2.809593940429579,149.693,147.073,153.187,6.114000000000004,2.604
