phenotype,marker,chr,pos,ci.low,ci.high,lod,p_pos,p_ci.low,p_ci.high,interval,threshold
S_seed,1_45791478,1,60.5,57,67,3.715744490990346,45.791,40.361,53.681,13.32,3.484
Sr_leaf,1_53680816,1,67.64618768,57.18373085,164.5,3.600228140223635,53.681,40.361,279.48,239.11900000000003,3.491
Co_leaf,1_94378919,1,83.75923938,62,108.5,3.565705168183797,94.379,47.905,197.892,149.987,3.445
Ca_leaf,1_201905251,1,111.5,66,163.5,3.794148234889292,201.905,51.321,278.674,227.35299999999998,3.461
Cd_leaf,1_255377519,1,145,123.6183554,170,3.957993394336924,255.378,219.824,283.934,64.11000000000001,3.423
Mn_leaf,1_269184021,1,155.5,151,180,3.975431781842076,269.184,262.519,289.307,26.78800000000001,3.461
Mg_leaf,1_273964464,1,160,150.5,185.5,3.9694044171370706,273.964,262.519,292.602,30.08299999999997,3.462
Cu_leaf,10_113523477,10,49.5,36,61.5,4.082681942771643,113.523,14.606,134.623,120.017,3.554
Cd_leaf,2_64908160,2,57.80311193,43.5,65.5,5.200421431939489,64.908,28.618,165.893,137.275,3.423
Cd_seed,2_73588220,2,58.91440599,52,69.5,4.5073786038701655,73.588,45.832,180.637,134.805,3.533
Fe_leaf,3_13471669,3,35.10230061,31,37,4.290935656679153,13.472,10.28,15.065,4.785,3.56
Cu_seed,5_2269274,5,0,0,1,21.13106743408904,2.269,2.269,2.269,0,3.566
Fe_leaf,5_2269274,5,0,0,1,15.871449471907397,2.269,2.269,2.269,0,3.56
Mg_leaf,5_2269274,5,0,0,25,4.968495234987927,2.269,2.269,6.378,4.109,3.462
Mn_leaf,5_2269274,5,0,0,19.5,6.965294803930192,2.269,2.269,6.378,4.109,3.461
Zn_leaf,5_2269274,5,0,0,1,31.840090006861402,2.269,2.269,2.269,0,3.561
Zn_seed,5_2269274,5,0,0,1.5,20.75450746283667,2.269,2.269,2.269,0,3.485
Cu_leaf,5_2269274,5,0.5,0,1.5,28.283692449746198,2.269,2.269,2.269,0,3.554
Fe_seed,5_2269274,5,0.5,0,2,13.941948507626904,2.269,2.269,3.096,0.827,3.58
As_leaf,5_2269274,5,1,0,4,8.283686783795957,2.269,2.269,3.096,0.827,3.504
Mn_seed,5_3096229,5,2.5,0,8,4.8062663558248175,3.096,2.269,4.271,2.002,3.552
P_leaf,5_3096229,5,2.5,0,7.5,4.191617447902672,3.096,2.269,4.271,2.002,3.452
As_seed,5_3096229,5,5,0,8.5,4.761294755612596,3.096,2.269,4.271,2.002,3.461
Zn_leaf,8_935340,8,0,0,2.5,4.169458781045506,0.935,0.935,0.935,0,3.561
As_seed,8_22801877,8,43,19.5,56.54061529,4.082248695297437,22.802,8.017,101.472,93.455,3.461
Ni_seed,9_2485561,9,1,0,2.52513745,10.863976797675662,2.486,2.486,4.291,1.8050000000000002,3.523
Na_leaf,9_134175873,9,64,58.4528338,69.5,6.234415719913727,134.176,118.966,136.646,17.679999999999993,3.525
Sr_seed,9_147073159,9,97.5,83,102.5,3.826460040942976,147.073,142.192,149.693,7.501000000000005,3.505
